weekday,c-ip,count
0,-,81
0,10.1.16.100,32
0,10.161.32.87,92120
0,10.161.38.190,1044
0,10.161.46.152,902
0,10.161.54.255,4030
0,10.168.56.49,22062
0,10.169.60.142,6
0,172.28.69.82,2
0,172.28.83.113,6
0,172.28.85.145,3
0,172.28.85.21,3
0,172.28.92.63,3
0,172.29.80.7,24
0,172.30.4.122,2
0,172.30.5.189,1
0,172.30.5.36,1
0,172.30.5.67,3
0,172.31.124.1,1164
0,172.31.124.31,4
0,172.31.69.1,32
0,172.31.74.120,1578
0,172.31.74.28,2
0,172.31.80.8,92
0,172.31.82.35,4
1,-,151
1,10.1.16.100,32
1,10.161.32.87,90837
1,10.161.38.190,1475
1,10.161.46.152,1496
1,10.161.54.255,5373
1,10.168.56.49,22621
1,10.169.60.142,9
1,172.26.245.129,4
1,172.28.69.82,3
1,172.28.83.113,7
1,172.28.85.145,3
1,172.28.85.21,3
1,172.28.92.63,3
1,172.29.80.7,29
1,172.30.4.122,14
1,172.30.5.189,2
1,172.30.5.36,2
1,172.30.5.40,3
1,172.30.5.67,7
1,172.30.6.96,2
1,172.31.124.1,2441
1,172.31.124.31,13
1,172.31.69.1,40
1,172.31.74.120,2395
1,172.31.74.28,5
1,172.31.80.8,198
1,172.31.82.35,6
2,-,207
2,10.1.16.100,32
2,10.161.32.87,88950
2,10.161.38.190,1927
2,10.161.46.152,1971
2,10.161.54.255,5999
2,10.168.56.49,23196
2,10.169.60.142,12
2,172.26.241.170,2
2,172.26.241.179,5
2,172.26.244.11,5
2,172.26.245.129,4
2,172.28.69.82,4
2,172.28.83.113,10
2,172.28.85.145,3
2,172.28.85.21,3
2,172.28.92.63,5
2,172.29.80.7,36
2,172.30.4.122,20
2,172.30.5.189,1
2,172.30.5.36,6
2,172.30.5.67,2
2,172.30.6.96,4
2,172.31.124.1,3432
2,172.31.124.31,9
2,172.31.69.1,48
2,172.31.74.120,3296
2,172.31.74.28,7
2,172.31.80.8,300
2,172.31.82.35,7
3,-,223
3,10.1.16.100,32
3,10.161.32.87,89248
3,10.161.38.190,1804
3,10.161.46.152,2206
3,10.161.54.255,6178
3,10.168.56.49,21225
3,10.169.60.142,12
3,172.26.241.179,1
3,172.26.244.11,6
3,172.28.69.82,4
3,172.28.83.113,9
3,172.28.85.145,8
3,172.28.85.21,8
3,172.28.92.63,4
3,172.29.80.7,37
3,172.30.4.122,24
3,172.30.5.171,2
3,172.30.5.174,1
3,172.30.5.189,1
3,172.30.5.36,12
3,172.30.5.67,4
3,172.30.6.137,1
3,172.31.124.1,3811
3,172.31.124.31,12
3,172.31.69.1,48
3,172.31.74.120,3455
3,172.31.74.28,8
3,172.31.80.8,320
3,172.31.82.35,8
4,-,212
4,10.1.16.100,32
4,10.161.32.87,89031
4,10.161.38.190,2273
4,10.161.46.152,2076
4,10.161.54.255,6010
4,10.168.56.49,21274
4,10.169.60.142,12
4,172.26.244.11,1
4,172.28.69.82,4
4,172.28.83.113,9
4,172.28.85.145,4
4,172.28.85.21,4
4,172.28.92.63,4
4,172.29.80.7,36
4,172.30.4.122,24
4,172.30.5.129,5
4,172.30.5.134,2
4,172.30.5.171,2
4,172.30.5.189,3
4,172.30.5.214,3
4,172.30.5.36,7
4,172.30.5.40,1
4,172.30.5.67,3
4,172.31.124.1,3784
4,172.31.124.31,12
4,172.31.69.1,48
4,172.31.74.120,3371
4,172.31.74.28,8
4,172.31.80.8,308
4,172.31.82.35,8
5,-,86
5,10.1.16.100,32
5,10.161.32.87,93651
5,10.161.38.190,904
5,10.161.46.152,1126
5,10.161.54.255,3291
5,10.168.56.49,22432
5,172.28.85.145,4
5,172.28.85.21,4
5,172.28.92.63,3
5,172.29.80.7,12
5,172.30.4.122,23
5,172.30.5.67,3
5,172.30.6.96,1
5,172.31.124.1,1920
5,172.31.124.31,2
5,172.31.69.1,16
5,172.31.74.120,1002
5,172.31.74.28,5
5,172.31.80.8,256
5,172.31.82.35,1
6,-,9
6,10.1.16.100,32
6,10.161.32.87,42280
6,10.161.38.190,96
6,10.161.46.152,493
6,10.161.54.255,67
6,10.168.56.49,10782
6,172.28.85.145,3
6,172.28.85.21,3
6,172.30.4.122,15
6,172.31.124.1,444
6,172.31.69.1,16
6,172.31.74.120,148
6,172.31.80.8,90
